veranstaltung_hash_id,kurs_hash_id,datum_von,datum_bis,lehrgang_ids,anzahl_teilnehmer
0096055fb3a62972cce6cbdf650358ab14b0a6c38e56675c70cb5ae313845547,07bece75facc7c388b34a2d393cbec8ff453eb4f90446e7d132c6d3979a8ccbb,2025-05-23 12:30:00,2025-05-23 15:45:00,[1],9
01bc374a17c881a80bcdb24c71d9497110b4a4ff045d879289072808755124cd,d4972ad89e291495520cdd0604d096a181a9013c9b93c3fb0a926797690d18f2,2025-05-23 08:30:00,2025-05-23 11:45:00,"[2, 3]",49
03d66985fadc20d6a89f13652a8377064179c98a69b7f5132bad8bc0daab87df,e2ab5a7db0069b43b968f164bf16c86394ca616590676c74cf8db3869874d238,2025-05-23 18:00:00,2025-05-23 21:15:00,[4],23
0d8e3d38c4fc6f6050d4cedbbf8e4f678740fd3de585ab1e9458eae05429c56f,e5a0d08839066813d987c727ca09aa196af70ddc78f67f50afc8bd16e61185c3,2025-05-23 18:00:00,2025-05-23 19:30:00,[5],6
104140207126fb550cb8cdc5d7cefe479994328987685aacb62f9bf6d4b017bb,432c8dfafa45b1a53d619ceaf2ab9e54a9f995144f27d614121cd6b8b11c83e2,2025-05-23 12:30:00,2025-05-23 15:45:00,[6],9
1197c5a516511c88be13366e427263f5a0efe6aa235762757af25d7347603961,2e1998695400f87da5d403b1697a0743721668e1a94835d20011f36075053b96,2025-05-23 18:00:00,2025-05-23 21:15:00,[7],21
1f8c163b162c8a48b6f0e49be00a07438b04b37f6eaa77932486a41ad8e4e868,955dfcdd7f31c8a3317d809cee198fa8d9920fdea1b365ddfc3f7cd658db9f01,2025-05-23 08:30:00,2025-05-23 11:45:00,[8],64
25a381cb9b5a87f667c211e2eb821a451abb8262ccf192ac9331e908fde86b54,91d5e3fd5a0999d50668d33a7ca10e919a6c7d5fc7f44848dd5c312c17bd3727,2025-05-23 12:30:00,2025-05-23 15:45:00,[9],38
3b3b0c621cfd83e5709c8ae573a552d02af0de4de41b6b1f2196eae64c74c229,c9e35c2ab78a2d1624dbb4ddc1b373f752865c91e8f0cc048651b00a5b3f1491,2025-05-23 08:30:00,2025-05-23 11:45:00,"[10, 11]",19
46d2e909e9314495e48e75341e57b5f001d660d9c6db9a40cdcae5c5fe5fb9f6,d4972ad89e291495520cdd0604d096a181a9013c9b93c3fb0a926797690d18f2,2025-05-23 12:30:00,2025-05-23 15:45:00,[12],49
59a802dfbcda23618d2e7a27e44110a693631e7a9702c0800ae79db6b620a346,2fd57c837f8887413cf4e03cca4201bb3287bbf57c66580c38b959b4291a97c6,2025-05-23 18:00:00,2025-05-23 19:30:00,"[2, 3]",20
5d102938d32e94279baa03fd7e093e5a1df305f316e9bb08de291c2705ac365c,28a1896bbf3f5762db137f77aecb279b9f8bf60997029d200b16d01f99b91f11,2025-05-23 18:00:00,2025-05-23 19:30:00,"[13, 14]",17
73a34dd234e8cee6a599688b9ed09882f84c8556c8fee25905dfa8c7c4e030f6,0fc4aedf0e89350d7fc912d42f140b10e465623e8e49c9a8c9b8accb47ecef37,2025-05-23 18:00:00,2025-05-23 21:15:00,"[15, 16]",27
a6e5280de5f082acd14996fa6fa3db2059c58a3aa50b76b562ca7f7d45932f25,908b38f1df1b4885b8807ba27e20247568589bb9b679caa3fcbbcedc049d5437,2025-05-23 08:30:00,2025-05-23 11:45:00,"[17, 18, 19, 20, 21]",8
b6642034f6f795697ca541a64f45ec420404b8c5ae895043f93109df4fbda195,8fbe0e70b53fdd8c77d5975f9d8de2a42842bf9bab4df2e7ec762f4031e895a4,2025-05-23 18:00:00,2025-05-23 19:30:00,[6],51
be5aff40117b7d004aaaa4925c8a1cd5c2f3bd922dd3aff4e692a6d23f5f5074,b29e87c7b35a300252200f8eee4c7c1342015f42001e67ebfd8a536288d22844,2025-05-23 18:00:00,2025-05-23 19:30:00,"[22, 23, 24]",14
c1679d533b7e5dc9c4dfcee9a615072acb1dc1f60db2a261045c1db9ceacb5eb,fcf8105bb8841dca95d1126f0b2cdd73b4abde087b6a428f108ff6e98cc55423,2025-05-23 12:30:00,2025-05-23 15:45:00,[25],12
f649b58cb11d7605165fae64fb402a7002f02be2206e66eb7ab40786e5188da5,f2c87b644bb0448cd107fb0040be1c55d8fcf96915e8a9b32dce1875be5f6dca,2025-05-23 08:30:00,2025-05-23 11:45:00,[26],8
f679f5880d4f85d9853e286d66d2ba5956a5b2700eeb2ee37edb6b161afa5442,f2c87b644bb0448cd107fb0040be1c55d8fcf96915e8a9b32dce1875be5f6dca,2025-05-23 12:30:00,2025-05-23 15:45:00,[27],8
f96d764b8dab635c5431e94559dc4ac381f7c6b5ca864eddafb7476835b99ce7,8bee8f5d5c67f0080993490c6dce9a2734dd3e710dc121718c04dd874599182d,2025-05-23 12:30:00,2025-05-23 15:45:00,[28],56
